object,reference,position,points
mercury,asc,10,1
mars,saturn,10,1
mars,jupiter,10,1
mars,mars,10,1
mars,sun,10,1
mars,venus,10,0
mars,mercury,10,0
mars,moon,10,0
mars,asc,10,1
moon,saturn,10,0
moon,jupiter,10,1
moon,mars,10,1
moon,sun,10,1
moon,venus,10,1
moon,mercury,10,1
moon,moon,10,1
moon,asc,10,1
sun,saturn,10,1
sun,jupiter,10,0
sun,mars,10,1
sun,sun,10,1
sun,venus,10,0
sun,mercury,10,1
sun,moon,10,1
sun,asc,10,1
asc,saturn,10,1
asc,jupiter,10,1
asc,mars,10,1
asc,sun,10,1
asc,venus,10,0
asc,mercury,10,1
asc,moon,10,1
asc,asc,10,1
saturn,saturn,11,1
saturn,jupiter,11,1
saturn,mars,11,1
saturn,sun,11,1
saturn,venus,11,1
saturn,mercury,11,1
saturn,moon,11,1
saturn,asc,11,1
venus,saturn,11,1
venus,jupiter,11,1
venus,mars,11,1
venus,sun,11,1
venus,venus,11,1
venus,mercury,11,1
venus,moon,11,1
venus,asc,11,1
jupiter,saturn,11,0
jupiter,jupiter,11,1
jupiter,mars,11,1
jupiter,sun,11,1
jupiter,venus,11,1
jupiter,mercury,11,1
jupiter,moon,11,1
jupiter,asc,11,1
mercury,saturn,11,1
mercury,jupiter,11,1
mercury,mars,11,1
mercury,sun,11,1
mercury,venus,11,1
mercury,mercury,11,1
mercury,moon,11,1
mercury,asc,11,1
mars,saturn,11,1
mars,jupiter,11,1
mars,mars,11,1
mars,sun,11,1
mars,venus,11,1
mars,mercury,11,1
mars,moon,11,1
mars,asc,11,1
moon,saturn,11,1
moon,jupiter,11,1
moon,mars,11,1
moon,sun,11,1
moon,venus,11,1
moon,mercury,11,1
moon,moon,11,1
moon,asc,11,1
sun,saturn,11,1
sun,jupiter,11,1
sun,mars,11,1
sun,sun,11,1
sun,venus,11,0
sun,mercury,11,1
sun,moon,11,1
sun,asc,11,1
asc,saturn,11,1
asc,jupiter,11,1
asc,mars,11,1
asc,sun,11,1
asc,venus,11,0
asc,mercury,11,1
asc,moon,11,1
asc,asc,11,1
saturn,saturn,12,0
saturn,jupiter,12,1
saturn,mars,12,1
saturn,sun,12,0
saturn,venus,12,1
saturn,mercury,12,1
saturn,moon,12,0
saturn,asc,12,0
venus,saturn,12,0
venus,jupiter,12,0
venus,mars,12,1
venus,sun,12,1
venus,venus,12,0
venus,mercury,12,0
venus,moon,12,1
venus,asc,12,0
jupiter,saturn,12,1
jupiter,jupiter,12,0
jupiter,mars,12,0
jupiter,sun,12,0
jupiter,venus,12,0
jupiter,mercury,12,0
jupiter,moon,12,0
jupiter,asc,12,0
mercury,saturn,12,0
mercury,jupiter,12,1
mercury,mars,12,0
mercury,sun,12,1
mercury,venus,12,0
mercury,mercury,12,1
mercury,moon,12,0
mercury,asc,12,0
mars,saturn,12,0
mars,jupiter,12,1
mars,mars,12,0
mars,sun,12,0
mars,venus,12,1
mars,mercury,12,0
mars,moon,12,0
mars,asc,12,0
moon,saturn,12,0
moon,jupiter,12,0
moon,mars,12,0
moon,sun,12,0
moon,venus,12,0
moon,mercury,12,0
moon,moon,12,0
moon,asc,12,0
sun,saturn,12,0
sun,jupiter,12,0
sun,mars,12,0
sun,sun,12,0
sun,venus,12,1
sun,mercury,12,1
sun,moon,12,0
sun,asc,12,1
asc,saturn,12,0
asc,jupiter,12,0
asc,mars,12,0
asc,sun,12,1
asc,venus,12,0
asc,mercury,12,0
asc,moon,12,1
asc,asc,12,0
